work_year,job_title,job_category,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2022,machine_learning_engineer,Analysis,136086,estados unidos,pleno,temporario,remoto,alemanha,grande
2020,statistician,ML/AI,67982,japao,executivo,freelancer,remoto,india,media
2022,machine_learning_engineer,ML/AI,153309,reino unido,pleno,temporario,hibrido,china,grande
2022,data_analyst,ML/AI,135242,alemanha,senior,tempo_integral,hibrido,mexico,grande
2020,statistician,Data Science,35156,reino unido,pleno,tempo_integral,presencial,reino unido,pequena
2020,machine_learning_engineer,Engineering,68280,china,pleno,tempo_integral,hibrido,alemanha,media
2022,data_analyst,Data Science,105324,alemanha,executivo,meio_periodo,remoto,alemanha,grande
2021,data_scientist,ML/AI,90706,reino unido,executivo,temporario,remoto,japao,media
2022,data_analyst,Data Science,171043,reino unido,sem_exp,freelancer,presencial,alemanha,pequena
2022,statistician,Engineering,73408,alemanha,junior,temporario,remoto,estados unidos,pequena
2022,data_engineer,Data Science,167559,estados unidos,senior,freelancer,hibrido,estados unidos,pequena
2022,data_scientist,Data Science,50997,mexico,executivo,freelancer,presencial,reino unido,media
2020,machine_learning_engineer,Analysis,76456,mexico,sem_exp,freelancer,presencial,alemanha,pequena
2022,statistician,Engineering,160865,japao,junior,temporario,presencial,japao,media
2021,data_engineer,Analysis,107988,japao,junior,tempo_integral,hibrido,china,media
2020,data_analyst,Engineering,110908,mexico,executivo,meio_periodo,presencial,reino unido,media
2021,data_engineer,Analysis,107952,estados unidos,executivo,meio_periodo,presencial,india,grande
2021,statistician,ML/AI,114784,reino unido,senior,tempo_integral,remoto,japao,media
2021,statistician,ML/AI,189266,japao,executivo,meio_periodo,remoto,india,grande
2021,data_engineer,Data Science,194857,estados unidos,executivo,freelancer,presencial,reino unido,grande
2020,data_analyst,ML/AI,88676,estados unidos,executivo,meio_periodo,hibrido,estados unidos,grande
2020,data_engineer,ML/AI,38373,japao,senior,temporario,hibrido,japao,media
2021,statistician,Analysis,191355,mexico,pleno,tempo_integral,hibrido,china,pequena
2021,statistician,Analysis,124951,alemanha,sem_exp,tempo_integral,hibrido,japao,pequena
2020,machine_learning_engineer,Engineering,56414,india,junior,tempo_integral,remoto,reino unido,media
2020,machine_learning_engineer,Data Science,175450,mexico,pleno,tempo_integral,hibrido,japao,media
2020,data_scientist,Data Science,147139,alemanha,sem_exp,temporario,hibrido,japao,pequena
2022,statistician,Engineering,113872,mexico,senior,freelancer,presencial,reino unido,grande
2022,machine_learning_engineer,Data Science,165772,reino unido,senior,freelancer,hibrido,mexico,pequena
2022,data_engineer,ML/AI,174973,alemanha,sem_exp,freelancer,hibrido,alemanha,pequena
2021,data_analyst,Data Science,120374,china,pleno,meio_periodo,hibrido,reino unido,pequena
2022,data_engineer,Data Science,183669,india,pleno,freelancer,hibrido,japao,pequena
2021,data_analyst,Analysis,194500,mexico,junior,meio_periodo,remoto,china,grande
2021,machine_learning_engineer,Analysis,196759,india,sem_exp,temporario,presencial,china,grande
2022,data_scientist,ML/AI,59493,estados unidos,pleno,meio_periodo,remoto,reino unido,grande
2021,data_engineer,ML/AI,155074,china,executivo,freelancer,presencial,japao,media
2022,data_engineer,Analysis,81224,reino unido,pleno,tempo_integral,presencial,india,media
2022,data_engineer,Engineering,61852,estados unidos,executivo,temporario,presencial,india,pequena
2020,data_analyst,Engineering,40932,alemanha,junior,freelancer,presencial,estados unidos,pequena
2022,machine_learning_engineer,ML/AI,118545,alemanha,executivo,freelancer,remoto,mexico,media
2020,data_engineer,ML/AI,63583,japao,senior,freelancer,presencial,reino unido,media
2022,data_engineer,Analysis,59865,estados unidos,junior,temporario,hibrido,reino unido,pequena
2022,data_scientist,Engineering,173361,china,junior,tempo_integral,hibrido,india,pequena
2020,data_scientist,Data Science,100270,estados unidos,sem_exp,tempo_integral,presencial,india,grande
2020,machine_learning_engineer,Data Science,115549,estados unidos,junior,tempo_integral,hibrido,india,pequena
2022,machine_learning_engineer,Data Science,196593,estados unidos,junior,freelancer,hibrido,china,pequena
2021,statistician,Data Science,167577,india,executivo,meio_periodo,presencial,china,grande
2020,data_scientist,Analysis,160768,japao,pleno,freelancer,presencial,estados unidos,grande
2021,statistician,ML/AI,74327,mexico,senior,tempo_integral,presencial,estados unidos,grande
2021,data_analyst,Analysis,143209,reino unido,pleno,temporario,remoto,alemanha,pequena
2021,statistician,Engineering,144889,reino unido,senior,meio_periodo,presencial,china,media
2020,data_engineer,ML/AI,48409,reino unido,executivo,meio_periodo,presencial,reino unido,media
2021,statistician,Data Science,180589,india,junior,freelancer,remoto,estados unidos,pequena
2020,machine_learning_engineer,Analysis,74533,japao,junior,temporario,hibrido,japao,grande
2021,data_analyst,Analysis,191547,china,pleno,meio_periodo,remoto,reino unido,media
2022,data_engineer,Data Science,45327,japao,pleno,tempo_integral,hibrido,alemanha,pequena
2022,statistician,Analysis,85344,india,pleno,freelancer,remoto,india,grande
2020,data_analyst,Data Science,33671,china,junior,freelancer,presencial,alemanha,grande
2022,data_analyst,Engineering,121908,estados unidos,junior,tempo_integral,remoto,reino unido,grande
2022,data_engineer,ML/AI,80756,alemanha,executivo,tempo_integral,presencial,india,grande
2021,statistician,Engineering,189152,estados unidos,senior,tempo_integral,hibrido,alemanha,grande
2020,data_analyst,Engineering,54544,reino unido,pleno,meio_periodo,presencial,alemanha,grande
2021,data_analyst,Data Science,106347,estados unidos,junior,temporario,remoto,reino unido,grande
2021,data_scientist,Analysis,48733,india,senior,meio_periodo,remoto,estados unidos,grande
2021,data_analyst,Engineering,78093,reino unido,pleno,temporario,hibrido,japao,grande
2021,data_scientist,Data Science,135424,alemanha,sem_exp,freelancer,presencial,alemanha,pequena
2021,statistician,Engineering,125595,china,senior,temporario,hibrido,japao,pequena
2021,statistician,Analysis,67487,china,senior,tempo_integral,presencial,china,media
2021,statistician,Analysis,150931,reino unido,senior,meio_periodo,presencial,china,pequena
2020,machine_learning_engineer,Analysis,70849,mexico,sem_exp,tempo_integral,hibrido,reino unido,media
2022,statistician,Engineering,175622,mexico,executivo,freelancer,hibrido,mexico,pequena
2021,data_analyst,ML/AI,106400,estados unidos,pleno,meio_periodo,presencial,reino unido,media
